experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,normalized,4,2,False,target_plus_type_probability,0.5999999999999999,1.1702778228589004e-16,10,0.5999999999999999,0.5999999999999999,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,density_ratio,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,neighbor_weight,2.0,0.0,10,2.0,2.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,semantic_drift,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_local_energy,0.06652799999999993,0.0,10,0.06652799999999993,0.06652799999999993,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_path_derivative,0.1345196450030155,0.016916426626462998,10,0.12490674268479741,0.14505184099013965,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_normalized_path_derivative,0.06725982250150775,0.008458213313231499,10,0.06245337134239871,0.07252592049506983,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,old_return,0.14079999999999998,0.0,10,0.14079999999999998,0.14079999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return,0.15485235196709377,0.001896781784942847,10,0.153781742150851,0.15601746775637548,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_gain,0.014052351967093804,0.001896781784942847,10,0.01298174215085099,0.015217467756375513,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_total,3584.0,0.0,10,3584.0,3584.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_training,2048.0,0.0,10,2048.0,2048.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_direction_check,512.0,0.0,10,512.0,512.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_return_check,1024.0,0.0,10,1024.0,1024.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,attempts,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,forward_kl_training,3.326599021451087e-09,2.9145240519885228e-09,10,1.6275356076891302e-09,5.118383969958492e-09,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_check_score,0.07945765048675259,0.034727214770628574,10,0.06038642448005079,0.10087580469642674,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_check_gain,0.02080729166666667,0.015483395766553748,10,0.012577473958333333,0.031263346354166666,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_check_standard_error,0.021277510023373865,0.0032504998635506494,10,0.019412972155633697,0.023129569772163017,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_true_coefficient_0,0.05999999999999981,7.314236392868128e-18,10,0.05999999999999981,0.05999999999999981,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_true_coefficient_1,0.3599999999999998,0.0,10,0.3599999999999998,0.3599999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,frozen_actor_p_0,0.3020127570455565,0.002200529039528118,10,0.30071657492030035,0.3033186757537148,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,frozen_actor_p_1,0.7151158572144936,0.00180058443929823,10,0.7140516181165016,0.716213736038229,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
