experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,AN,40,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.12657450425710406,0.06328725212855203,0.14079999999999998,0.15388614713005852,0.01308614713005854,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,0.059999999999999803,0.3599999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.001142419441707153,0.0012115627518715056,0.05755009118132131,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.25314900851420813,0.06328725212855203,0.28159999999999996,0.30777229426011704,0.02617229426011708,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,0.059999999999999803,0.3599999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.001142419441707153,0.0012115627518715056,0.05755009118132131,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3797235127713122,0.06328725212855203,0.42239999999999994,0.46165844139017553,0.03925844139017559,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,0.059999999999999803,0.3599999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.001142419441707153,0.0012115627518715056,0.05755009118132131,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0888654593669282,0.0444327296834641,0.13226666666666667,0.1412299001810589,0.008963233514392238,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,-0.04666666666666674,0.2533333333333333,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.005400797665216384,0.0175745728550453,0.008966754648505278,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.25314900851420813,0.06328725212855203,0.28159999999999996,0.30777229426011704,0.02617229426011708,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,0.059999999999999803,0.3599999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.001142419441707153,0.0012115627518715056,0.05755009118132131,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.4928506474418396,0.08214177457363993,0.44799999999999984,0.4996271822371744,0.05162718223717455,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,0.16666666666666632,0.46666666666666634,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.015998707884864537,0.01757457285504528,0.0733438583285109,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.00846403587915577,0.004232017939577885,0.1248,0.12590762710276254,0.0011076271027625484,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,-0.26,0.03999999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.06693989350241655,0.11283899728844018,-0.02788305550523481,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.25314900851420813,0.06328725212855203,0.28159999999999996,0.30777229426011704,0.02617229426011708,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,0.059999999999999803,0.3599999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.001142419441707153,0.0012115627518715056,0.05755009118132131,specified_source_logit_path_through_finite_candidate,
P-T,AN,40,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.025392107637467312,0.004232017939577885,0.3744,0.3777228813082877,0.003322881308287673,3584,2048,512,1024,True,accepted_empirical,0.1,1,3.5096021816954115e-09,-0.06262709332752192,100,5.0,0.06497205151229526,empirical,0.005729166666666665,empirical,0.015690282057450277,-0.26,0.03999999999999998,0.3001445036800375,0.7144268693653439,0.0011534363396904206,7.144168038947031e-07,0.06693989350241655,0.11283899728844018,-0.02788305550523481,specified_source_logit_path_through_finite_candidate,
P-T,SA,40,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.12713874614603882,0.06356937307301941,0.14079999999999998,0.15394625299943315,0.013146252999433172,3584,2048,512,1024,True,accepted_empirical,0.1,1,2.971063107885378e-09,-0.06286812275312419,100,5.0,0.06498846524600965,empirical,0.009114583333333332,empirical,0.01604899014444993,0.059999999999999803,0.3599999999999998,0.3001439609137536,0.7144903701629073,0.0011397363887505215,6.048286475370201e-07,0.0011259697575090105,0.0011928519865242757,0.05761968607650762,specified_source_logit_path_through_finite_candidate,
P-T,SA,40,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.25427749229207763,0.06356937307301941,0.28159999999999996,0.3078925059988663,0.026292505998866345,3584,2048,512,1024,True,accepted_empirical,0.1,1,2.971063107885378e-09,-0.06286812275312419,100,5.0,0.06498846524600965,empirical,0.009114583333333332,empirical,0.01604899014444993,0.059999999999999803,0.3599999999999998,0.3001439609137536,0.7144903701629073,0.0011397363887505215,6.048286475370201e-07,0.0011259697575090105,0.0011928519865242757,0.05761968607650762,specified_source_logit_path_through_finite_candidate,
P-T,SA,40,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.38141623843811645,0.06356937307301941,0.42239999999999994,0.46183875899829946,0.03943875899829952,3584,2048,512,1024,True,accepted_empirical,0.1,1,2.971063107885378e-09,-0.06286812275312419,100,5.0,0.06498846524600965,empirical,0.009114583333333332,empirical,0.01604899014444993,0.059999999999999803,0.3599999999999998,0.3001439609137536,0.7144903701629073,0.0011397363887505215,6.048286475370201e-07,0.0011259697575090105,0.0011928519865242757,0.05761968607650762,specified_source_logit_path_through_finite_candidate,
P-T,SA,40,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0892632901962893,0.04463164509814465,0.13226666666666667,0.141270313621141,0.009003646954474337,3584,2048,512,1024,True,accepted_empirical,0.1,1,2.971063107885378e-09,-0.06286812275312419,100,5.0,0.06498846524600965,empirical,0.009114583333333332,empirical,0.01604899014444993,-0.04666666666666674,0.2533333333333333,0.3001439609137536,0.7144903701629073,0.0011397363887505215,6.048286475370201e-07,0.005550759040591881,0.017503105888779246,0.009015827398504966,specified_source_logit_path_through_finite_candidate,
P-T,SA,40,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.25427749229207763,0.06356937307301941,0.28159999999999996,0.3078925059988663,0.026292505998866345,3584,2048,512,1024,True,accepted_empirical,0.1,1,2.971063107885378e-09,-0.06286812275312419,100,5.0,0.06498846524600965,empirical,0.009114583333333332,empirical,0.01604899014444993,0.059999999999999803,0.3599999999999998,0.3001439609137536,0.7144903701629073,0.0011397363887505215,6.048286475370201e-07,0.0011259697575090105,0.0011928519865242757,0.05761968607650762,specified_source_logit_path_through_finite_candidate,
