experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,AN,47,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.13150787826738064,0.06575393913369032,0.14079999999999998,0.15432434867455616,0.01352434867455618,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.0033059135480020896,0.0033226986549505823,0.05166016572205104,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2630157565347613,0.06575393913369032,0.28159999999999996,0.3086486973491123,0.02704869734911236,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.0033059135480020896,0.0033226986549505823,0.05166016572205104,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3945236348021419,0.06575393913369032,0.42239999999999994,0.46297304602366846,0.04057304602366851,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.0033059135480020896,0.0033226986549505823,0.05166016572205104,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.09486322885049422,0.04743161442524711,0.13226666666666667,0.1418038420220175,0.009537175355350841,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,-0.04666666666666674,0.2533333333333333,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.006499896298221894,0.024150549032604607,0.004813650619743558,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2630157565347613,0.06575393913369032,0.28159999999999996,0.3086486973491123,0.02704869734911236,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.0033059135480020896,0.0033226986549505823,0.05166016572205104,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.5044575830528012,0.08407626384213353,0.44799999999999984,0.5005345659812843,0.052534565981284476,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,0.16666666666666632,0.46666666666666634,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.019226597464448898,0.024150549032604607,0.06546340338630649,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.020039199139483987,0.010019599569741994,0.1248,0.12699505094789965,0.0021950509478996516,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,-0.26,0.03999999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.06051527522899093,0.1324105718263157,-0.03308590718347651,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2630157565347613,0.06575393913369032,0.28159999999999996,0.3086486973491123,0.02704869734911236,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.0033059135480020896,0.0033226986549505823,0.05166016572205104,specified_source_logit_path_through_finite_candidate,
P-T,AN,47,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.06011759741845196,0.010019599569741994,0.3744,0.380985152843699,0.006585152843698983,2144,2048,32,64,True,accepted_empirical,0.1,1,7.792105873743168e-10,-0.06684293697275279,100,5.0,0.05598227059807079,empirical,0.10833333333333334,empirical,0.07535757056102733,-0.26,0.03999999999999998,0.29837083441059936,0.7151727545863419,0.0032767915346835702,1.5967060525541137e-07,0.06051527522899093,0.1324105718263157,-0.03308590718347651,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.1311734792714005,0.06558673963570025,0.14079999999999998,0.1542882071519442,0.01348820715194421,2144,2048,32,64,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.05599669955405945,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.262346958542801,0.06558673963570025,0.28159999999999996,0.3085764143038884,0.02697641430388842,2144,2048,32,64,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.05599669955405945,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3935204378142015,0.06558673963570025,0.42239999999999994,0.4628646214558326,0.04046462145583268,2144,2048,32,64,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.05599669955405945,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.09464765946007907,0.047323829730039534,0.13226666666666667,0.14178173617247122,0.009515069505804552,2144,2048,32,64,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.05599669955405945,empirical,0.10833333333333334,empirical,0.07535757056102733,-0.04666666666666674,0.2533333333333333,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.006397468742155672,0.024181018212856162,0.004795827012664209,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.262346958542801,0.06558673963570025,0.28159999999999996,0.3085764143038884,0.02697641430388842,2144,2048,32,64,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.05599669955405945,empirical,0.10833333333333334,empirical,0.07535757056102733,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.5030978972481659,0.08384964954136098,0.44799999999999984,0.5003840343942515,0.052384034394251655,2144,2048,32,64,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.05599669955405945,empirical,0.10833333333333334,empirical,0.07535757056102733,0.16666666666666632,0.46666666666666634,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.019361829119512557,0.024181018212856144,0.06542958334916715,specified_source_logit_path_through_finite_candidate,
